id,name,brand,price_min,price_max,color_options_count,color_options,image_path
2548841,Jarvis Laminate Standing Desk,Fully,$745.00,"$1,165.00",N/A,"['Black', 'Silver', 'White']",dwr\2548841.jpg
2517007,Line Storage Desk,Design Within Reach,"$3,295.00","$3,595.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\2517007.jpg
9394,Gather Table,dk3,"$4,145.00","$7,745.00",N/A,"['Oak', 'Walnut']",dwr\9394.jpg
7093,Renew Sit-To-Stand Desk,Herman Miller,"$1,685.00","$3,320.00",N/A,"['Ash', 'Folkstone Grey', 'Light Walnut', 'Walnut']",dwr\7093.jpg
2524143-3,"OE1 Table, 30 x 60",Herman Miller,$640.00,$855.00,N/A,"['Black', 'Canyon', 'Glacier', 'Graphite']",dwr\2524143-3.jpg
2196214,Folk Ladder Desk,Design Within Reach,$895.00,$995.00,N/A,"['Black', 'Natural Ash', 'Walnut']",dwr\2196214.jpg
2517916-1,"Edel Table, Mini",Design Within Reach,"$2,595.00","$2,795.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\2517916-1.jpg
104-2,"Eames Table, Round",Herman Miller,$895.00,"$1,795.00",N/A,"['Black', 'Polished Aluminum', 'White']",dwr\104-2.jpg
2524143-4,"OE1 Table, 30 x 72",Herman Miller,$695.00,$910.00,N/A,"['Black', 'Canyon', 'Glacier', 'Graphite']",dwr\2524143-4.jpg
2517916-2,"Edel Table, Standard",Design Within Reach,"$3,845.00","$4,145.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\2517916-2.jpg
4666,Celine Desk,Case,"$1,345.00","$1,845.00",N/A,"['Black', 'Oak', 'Walnut', 'Walnut / Black']",dwr\4666.jpg
2524143-2,"OE1 Table, 24 x 48",Herman Miller,$585.00,$800.00,N/A,"['Black', 'Canyon', 'Glacier', 'Graphite']",dwr\2524143-2.jpg
2564203,Passport Work Table,Herman Miller,$600.00,"$1,020.00",N/A,"['Black', 'Canyon', 'Folkstone Grey', 'Glacier']",dwr\2564203.jpg
2197128,Yo Table,Lapalma,N/A,N/A,N/A,"['Black', 'White', 'White Oak']",dwr\2197128.jpg
2541522,Eames 2500 Series Executive Desk,Herman Miller,"$2,595.00","$4,495.00",N/A,"['Walnut', 'White Oak']",dwr\2541522.jpg
2517916-3,"Edel Table, Grand",Design Within Reach,"$4,645.00","$4,945.00",N/A,"['Black', 'Oak', 'Walnut']",dwr\2517916-3.jpg
2514101-1,"Mini Motia Sit-to-Stand Desk, 24"" x 36""",Herman Miller,"$1,035.00","$1,505.00",N/A,"['Black', 'Canyon', 'Glacier', 'Metallic Silver']",dwr\2514101-1.jpg
2514616,Copenhague 90 Desk,HAY,"$1,195.00","$1,495.00",N/A,"['Black / Black', 'Oak', 'Walnut', 'Off White / Oak']",dwr\2514616.jpg
3383,Everywhere Table,Herman Miller,$595.00,$845.00,N/A,"['Walnut', 'White']",dwr\3383.jpg
2213,Risom Desk,Design Within Reach,"$2,395.00","$2,795.00",N/A,"['Atlantis', 'Black', 'Forest Green', 'Oyster']",dwr\2213.jpg
6255,Nelson Swag Leg Desk,Herman Miller,N/A,N/A,N/A,['Walnut'],dwr\6255.jpg
2518795,Linear Table,Muuto,"$1,595.00","$2,449.00",N/A,['Oak'],dwr\2518795.jpg
2524143-1,"OE1 Table, 18 x 48",Herman Miller,$510.00,$725.00,N/A,"['Black', 'Canyon', 'Glacier', 'Graphite']",dwr\2524143-1.jpg
2539371,Renew Desk with Embedded Power,Herman Miller,"$2,845.00","$3,475.00",N/A,"['Walnut', 'White']",dwr\2539371.jpg
1366,Eames Desk Unit,Herman Miller,"$2,195.00","$2,295.00",N/A,"['Black', 'Zinc']",dwr\1366.jpg
2527193,Plex Adjustable Work Table,Herman Miller,$495.00,$595.00,N/A,"['Black', 'Walnut', 'White', 'White Ash']",dwr\2527193.jpg
2197149,Airia Desk,Herman Miller,N/A,N/A,N/A,['Walnut'],dwr\2197149.jpg
2047,Vella Leather Desk,Design Within Reach,N/A,N/A,N/A,"['Black', 'Buff', 'Saddle']",dwr\2047.jpg
4816,Magis Baguette Table,Magis,"$2,485.00","$6,935.00",N/A,"['Black', 'Polished Aluminum']",dwr\4816.jpg
104-1,"Eames Table, Rectangular",Herman Miller,"$2,295.00","$2,395.00",N/A,"['Polished Aluminum', 'White']",dwr\104-1.jpg
2520995,Motia Gaming Sit-to-Stand Desk,Herman Miller,N/A,N/A,N/A,"['Studio White', 'Black Infiniti']",dwr\2520995.jpg
2541516,USM Haller Desk 2,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\2541516.jpg
2536784,Soft Side Table,Muuto,$515.00,$685.00,N/A,"['Black', 'Dusty Green', 'Orange', 'Smoked Oak / Black']",dwr\2536784.jpg
2541515,USM Haller Desk 1,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\2541515.jpg
2543956,Tanis Desk,Ligne Roset,N/A,N/A,N/A,[],dwr\2543956.jpg
2197751,Plex Fixed-Height Work Table,Herman Miller,$345.00,$445.00,N/A,"['Black', 'Ebony', 'Walnut', 'White']",dwr\2197751.jpg
2519416,Nevi Sit to Stand Table,Herman Miller,"$1,060.00","$1,325.00",N/A,"['Graphite', 'White']",dwr\2519416.jpg
2514101-3,"Motia Sit-to-Stand Desk, 30"" x 60""",Herman Miller,N/A,N/A,N/A,"['Metallic Silver', 'White']",dwr\2514101-3.jpg
2571742,Morrison Desk,Design Within Reach,"$4,495.00","$4,995.00",N/A,"['Ebonized Oak', 'Oak', 'Walnut']",dwr\2571742.jpg
3171,Everywhere Conference Table,Herman Miller,"$1,445.00","$1,995.00",N/A,"['Maple', 'White']",dwr\3171.jpg
1753,Nelson X-Leg Table,Herman Miller,"$1,895.00","$4,195.00",N/A,"['Walnut / Black', 'White', 'Walnut / Chrome', 'White Ash / White']",dwr\1753.jpg
104-3,"Eames Table, Square",Herman Miller,$895.00,"$1,395.00",N/A,"['Black', 'Polished Aluminum', 'White']",dwr\104-3.jpg
2514101-2,"Motia Sit-to-Stand Desk, 30"" x 48""",Herman Miller,N/A,N/A,N/A,"['Metallic Silver', 'White']",dwr\2514101-2.jpg
2543955,Private Desk,Gubi,N/A,N/A,N/A,"['Black Stained Oak', 'Light Stained Oak']",dwr\2543955.jpg
2523017,Florence Knoll Table Desk,Knoll®,"$7,313.00","$16,459.00",N/A,"['Satin Arabescato', 'Satin Carrara', 'White', 'Polished Arabescato']",dwr\2523017.jpg
2561298,Prouvé Compas Direction Desk,Vitra,"$4,180.00","$4,805.00",N/A,"['Black', 'Japanese Red', 'Blanc Colombe', 'Gris Vermeer']",dwr\2561298.jpg
2549693,Passerelle Desk,HAY,"$1,695.00","$1,895.00",N/A,"['Oak', 'Walnut', 'Black Stained Oak']",dwr\2549693.jpg
2168,Prouvé EM Table,Vitra,"$6,500.00","$7,660.00",N/A,"['Deep Black', 'Japanese Red', 'Blanc Colombe', 'Gris Vermeer']",dwr\2168.jpg
5360,Greta Grossman 62 Series Desk,Gubi,N/A,N/A,N/A,['Black Walnut'],dwr\5360.jpg
2572316-1,"OE1 Sit-to-Stand Table, Round",Herman Miller,"$1,545.00","$1,745.00",N/A,"['Black', 'Glacier', 'Olive', 'Studio White']",dwr\2572316-1.jpg
2543957,Ursuline Desk,Ligne Roset,N/A,N/A,N/A,[],dwr\2543957.jpg
2570216,Dulwich Desk,Case,"$2,295.00","$2,495.00",N/A,"['Oak', 'Walnut']",dwr\2570216.jpg
2523018,Florence Knoll Mini Desk,Knoll®,"$2,720.00","$5,904.00",N/A,"['Clear', 'Satin Arabescato', 'Satin Carrara', 'Polished Arabescato']",dwr\2523018.jpg
2195741,Magis Tavolo XZ3 Table,Magis,"$1,625.00","$5,325.00",N/A,"['Black', 'White', 'Carrara Marble']",dwr\2195741.jpg
8578,Florence Knoll Executive Desk,Knoll®,N/A,N/A,N/A,[],dwr\8578.jpg
2572316-2,"OE1 Sit-to-Stand Table, Rectangle",Herman Miller,"$1,435.00","$1,635.00",N/A,"['Black', 'Glacier', 'Olive', 'Studio White']",dwr\2572316-2.jpg
2555447,Palm Bed,Design Within Reach,"$3,295.00","$4,295.00",N/A,"['Oak', 'Walnut']",dwr\2555447.jpg
2543450,Rey Dining Table,HAY,N/A,N/A,N/A,"['Deep Black', 'Slate Blue', 'Golden', 'Deep Blue']",dwr\2543450.jpg
1070-1,"Florence Knoll Credenza, Two Position",Knoll®,"$7,565.00","$8,571.00",N/A,[],dwr\1070-1.jpg
1070-2,"Florence Knoll Credenza, Four Position",Knoll®,"$14,759.00","$17,072.00",N/A,[],dwr\1070-2.jpg
9807,USM Haller File Pedestal,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\9807.jpg
9808-1,"USM Haller Credenza, Open Storage",USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\9808-1.jpg
2197833-1,USM Haller High Media Console,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\2197833-1.jpg
9808-2,"USM Haller Credenza, Closed Storage",USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\9808-2.jpg
9809-1,USM Haller Double File Credenza,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\9809-1.jpg
9809-2,USM Haller Half File Credenza,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\9809-2.jpg
2197833-2,USM Haller Low Media Console,USM,N/A,N/A,N/A,"['Anthracite', 'Beige', 'Black', 'Golden Yellow']",dwr\2197833-2.jpg
2576954-1,"Domino Credenza, Shelf Storage",Geiger,"$4,995.00","$7,595.00",N/A,"['Oak', 'Walnut']",dwr\2576954-1.jpg
2576955,Sled Base Credenza,Geiger,"$6,195.00","$10,495.00",N/A,"['Ash', 'Oak', 'Walnut']",dwr\2576955.jpg
2576954-2,"Domino Credenza, Mixed Storage",Geiger,"$10,795.00","$18,995.00",N/A,"['Ebony', 'Oak', 'Walnut']",dwr\2576954-2.jpg
2528209-2,"OE1 Trolley, Top Drawer & Bottom Shelf",Herman Miller,N/A,N/A,N/A,"['Black', 'Canyon', 'Glacier', 'Graphite']",dwr\2528209-2.jpg
2528209-3,"OE1 Trolley, Top Drawer & File Bin",Herman Miller,N/A,N/A,N/A,"['Black', 'Canyon', 'Glacier', 'Graphite']",dwr\2528209-3.jpg
